11735;Balanced Perro Senior Raza PequeÏa ;7.5;440.9;587; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
11732;Balanced Perro Senior Raza Mediana ;3;177.91;237; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
11733;Balanced Perro Senior Raza Mediana ;12;525.98;701; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
11730;Balanced Perro Senior Raza Grande ;3;177.91;237; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
11731;Balanced Perro Senior Raza Grande ;15;649.74;866; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21709;Balanced Gato Kitten ;0.4;49.5;66; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21710;Balanced Gato Kitten ;2;193.38;258; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21711;Balanced Gato Kitten ;7.5;525.98;701; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21703;Balanced Gato Adulto ;0.4;49.5;66; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21704;Balanced Gato Adulto ;2;193.38;258; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21705;Balanced Gato Adulto ;7.5;525.98;701; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21715;Balanced Gato Senior ;0.4.;49.5;66; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21716;Balanced Gato Senior ;2;208.85;278; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21717;Balanced Gato Senior ;7.5;541.45;721; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21706;Balanced Gato Ctrl Peso/Cstrdo ;0.4;49.5;66; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21707;Balanced Gato Ctrl Peso/Cstrdo ;2;208.85;278; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21708;Balanced Gato Ctrl Peso/Cstrdo ;7.5;541.45;721; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21712;Balanced Gato Control PH All ages ;0.4;49.5;66; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21713;Balanced Gato Control PH All ages  ;2;208.85;278; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21714;Balanced Gato Control PH All ages ;7.5;541.45;721; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
31105;Premium Vital Junior ;1.5;97.67;130; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
31102;Premium Vital Junior ;15;632.88;843; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
11103;Premium Vital Can ;1.5;89.85;120; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
11101;Premium Vital Can ;15;546.94;729; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
11107;Premium Vital Can ;20;680.13;890; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
21102;Premium Vital Cat ;7.5;531.31;708; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
21103;Premium Vital Cat ;15;1,003.31;1300; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
35033;Complete Junior Razas PequeÏas ;1.5;72.33;91; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
35034;Complete Junior Razas PequeÏas ;12;433.2;541; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
35035;Complete Junior Razas Med y Gr ;1.5;72.33;91; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
35036;Complete Junior Razas Med y Gr ;12;433.2;541; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
35037;Complete Junior Razas Med y Gr ;20;656.94;749; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13711;Complete Adulto Razas PequeÏas Carne ;1.5;64.38;81; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13714;Complete Adulto Razas PequeÏas Pollo ;1.5;64.38;81; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13712;Complete Adulto Razas PequeÏas Carne ;12;413.33;484; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13716;Complete Adulto Razas PequeÏas Pollo ;12;413.33;484; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13717;Complete Adulto Razas Med y Gr Carne ;1.5;64.38;81; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13733;Complete Adulto RazasMed y Gr Carne ;12;389.49;458; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13720;Complete Adulto Razas Med y Gr Pollo ;1.5;64.38;81; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13734;Complete Adulto RazasMed y Gr Pollo ;12;389.49;458; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13718;Complete Adulto Razas Med y Gr Carne ;20;603.9;687; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13721;Complete Adulto Razas Med y Gr Pollo ;20;603.9;687; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13723;Complete Senior ;1.5;67.56;81; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13724;Complete Senior ;20;603.9;687; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13725;Complete Control de Peso ;1.5;67.56;81; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13726;Complete Control de Peso ;20;603.9;687; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
25610;Complete Kitten ;0.5;39.74;49; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25611;Complete Kitten ;1.5;96.18;120; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25612;Complete Kitten ;7.5;393.46;490; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25604;Complete Adulto ;5;39.74;49; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25605;Complete Adulto ;1.5;96.18;120; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25606;Complete Adulto ;12;616.02;765; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25607;Complete Control de Peso/Castrado ;0.5;41.33;49; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25608;Complete Control de Peso/Castrado ;1.5;102.54;120; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25609;Complete Control de Peso/Castrado ;7.5;417.31;490; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25613;Complete Senior ;0.5;41.33;49; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25614;Complete Senior ;1.5;99.36;120; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25615;Complete Senior ;7.5;410.95;490; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
32501;Belcan Junior ;15;226;291; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
12501;Belcan ;15;240;310; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
11769;Belcan ;22;315;405; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
22501;Belcat ;10;244;315; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
